"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","710","Updating Patch CustomElement","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch CustomElement",""
"","804","Updating Patch Tenant","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch Tenant",""
"","1114","Deleting ResourceID Detail","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting ResourceID Detail",""
"","750","Get CustomTemplate details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get CustomTemplate details with ID",""
"","822","Updating Patch UserRecipient","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch UserRecipient",""
"","865","Get UserCustomTemplate details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get UserCustomTemplate details with ID",""
"","2","Updating Patch ResourceID Request","","2025-09-16","broken","2025-09-16","","ResourceGraph API Testing","Updating Patch ResourceID Request",""
"","841","Creating a UserRecipient","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating a UserRecipient",""
"","710","Get Attachment details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get Attachment details with ID",""
"","757","Get BaseUserMessage details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get BaseUserMessage details with ID",""
"","1112","Creating a Attachment","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating a Attachment",""
"","803","Fetching All CustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All CustomTemplate",""
"","909","Fetching all Attchments","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching all Attchments",""
"","739","Creating a UserCustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating a UserCustomTemplate",""
"","704","Fetching All UserRecipient","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All UserRecipient",""
"","834","Updating Put CustomTag","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Put CustomTag",""
"","766","Deleting Reaction","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting Reaction",""
"","702","Fetching All CustomTag","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All CustomTag",""
"","768","Creating BaseUserMessage","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating BaseUserMessage",""
"","723","Get Message Details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get Message Details with ID",""
"","774","Get Tenant details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get Tenant details with ID",""
"","794","Fetching All Reaction","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All Reaction",""
"","806","Updating Put Tenant","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Put Tenant",""
"","896","Deleting ResourceRegistries Details","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting ResourceRegistries Details",""
"","732","Updating Put UserCustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Put UserCustomTemplate",""
"","1049","Creating a Reaction","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating a Reaction",""
"","723","Deleting Tenant","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting Tenant",""
"","759","Deleting Message","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting Message",""
"","745","Creating a Tenant","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating a Tenant",""
"","815","Updating PUT ResourceID Details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating PUT ResourceID Details with ID",""
"","721","Deleting BaseUserMessage","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting BaseUserMessage",""
"","879","Fetching All UserCustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All UserCustomTemplate",""
"","803","Deleting UserCustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting UserCustomTemplate",""
"","989","Creating Message","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating Message",""
"","937","Updating Put BaseUserMessage","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Put BaseUserMessage",""
